id,title,budget_clean,revenue_clean,roi
245703,Midnight Special,18000000,6212282,0.345126778
20766,The Road,32000000,27635305,0.863603281
49494,The Eagle,25000000,27122040,1.0848816
253412,Everest,55000000,203427584,3.698683345
31510,Ben-Hur: A Tale of the Christ,3900000,9000000,2.307692308
25848,Legend of the Lost,1750000,2200000,1.257142857
10730,King Kong,23000000,90614445,3.939758478
77221,Black Gold,40000000,5446000,0.13615
10339,Moby Dick,4500000,10400000,2.311111111
77221,Black Gold,40000000,5446000,0.13615
14372,Leviathan,25000000,15704614,0.62818456
257445,Goosebumps,58000000,158162788,2.726944621
9360,Anaconda,45000000,136885767,3.041905933
10803,Logan's Run,9000000,25000000,2.777777778
9978,Stormbreaker,40000000,23937870,0.59844675
166426,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,794191988,3.453008643
6278,Reign of Fire,60000000,43061982,0.7176997
8009,Highlander,16000000,5900000,0.36875
2114,Final Fantasy: The Spirits Within,137000000,85131830,0.621400219
2310,Beowulf,70000000,195735876,2.7962268
7840,"10,000 BC",105000000,266000000,2.533333333
943,Lethal Weapon 3,35000000,321731527,9.192329343
8592,Dick Tracy,47000000,103738726,2.207206936
941,Lethal Weapon,15000000,120207127,8.013808467
48706,Josh and S.A.M.,18000000,1528163,0.084897944
333484,The Magnificent Seven,90000000,162360636,1.804007067
494,Shaft in Africa,2142000,1458000,0.680672269
5503,The Fugitive,44000000,368875760,8.38354
482,Shaft,4000000,12121618,3.0304045
8810,Mad Max 2: The Road Warrior,2000000,24600832,12.300416
9659,Mad Max,400000,100000000,250
2080,X-Men Origins: Wolverine,150000000,373062864,2.48708576
604,The Matrix Reloaded,150000000,738599701,4.923998007
2756,The Abyss,70000000,90000098,1.285715686
44912,Green Lantern,200000000,219851172,1.09925586
563,Starship Troopers,105000000,121214377,1.154422638
52451,The Three Musketeers,75000000,132274484,1.763659787
9053,DOA: Dead or Alive,21000000,480314,0.022872095
707,A View to a Kill,30000000,152427960,5.080932
955,Mission: Impossible II,125000000,546388105,4.37110484
58574,Sherlock Holmes: A Game of Shadows,125000000,334615000,2.67692
36668,X-Men: The Last Stand,210000000,459359555,2.187426452
72559,G.I. Joe: Retaliation,130000000,371876278,2.860586754
1892,Return of the Jedi,32350000,572700000,17.70324575
1894,Star Wars: Episode II - Attack of the Clones,120000000,649398328,5.411652733
1891,The Empire Strikes Back,18000000,538400000,29.91111111
101299,The Hunger Games: Catching Fire,130000000,847423452,6.518641938
1893,Star Wars: Episode I - The Phantom Menace,115000000,924317558,8.037543983
330,The Lost World: Jurassic Park,73000000,229074524,3.138007178
72545,Journey 2: The Mysterious Island,79000000,355692760,4.50244
11,Star Wars,11000000,775398007,70.49072791
20526,TRON: Legacy,170000000,400062763,2.353310371
157350,Divergent,85000000,288747895,3.397034059
36657,X-Men,75000000,296339527,3.951193693
9826,The Phantom,45000000,17300889,0.3844642
28426,Invisible Agent,322000,1040000,3.229813665
59860,Monte Carlo,20000000,17425000,0.87125
